"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"331",7305189.12333333,167443616.2,47443525.0666667,14728677.8,6334427.32666667,5962612.77666667,5214911.53,17213183.46,73795600.8666667
"332",7305189.12333333,167443616.2,47443525.0666667,14728677.8,6334427.32666667,5962612.77666667,5214911.53,17213183.46,73795600.8666667
"333",7305189.12333333,167443616.2,47443525.0666667,14728677.8,6334427.32666667,5962612.77666667,5214911.53,17213183.46,73795600.8666667
"34",11704773.03,192142681.133333,81559743.6,15420845.7566667,7184748.78666667,5811477.56,5132656.88,18304994.0733333,72061126.6666667
"341",11704773.03,192142681.133333,81559743.6,15420845.7566667,7184748.78666667,5811477.56,5132656.88,18304994.0733333,72061126.6666667
"342",11704773.03,192142681.133333,81559743.6,15420845.7566667,7184748.78666667,5811477.56,5132656.88,18304994.0733333,72061126.6666667
"35",17397256.6866667,196650572.2,87949383.1333333,16053980.5766667,7320486.51666667,6428832.05666667,5411376.46666667,18299461.7966667,73133041.2
"351",17397256.6866667,196650572.2,87949383.1333333,16053980.5766667,7320486.51666667,6428832.05666667,5411376.46666667,18299461.7966667,73133041.2
"352",17397256.6866667,196650572.2,87949383.1333333,16053980.5766667,7320486.51666667,6428832.05666667,5411376.46666667,18299461.7966667,73133041.2
"36",21237835.32,220673053.566667,111373645.033333,17837637.3,7489857.03666667,7135224.91,5599956.24666667,22093625.71,77154985.3666667
"361",21237835.32,220673053.566667,111373645.033333,17837637.3,7489857.03666667,7135224.91,5599956.24666667,22093625.71,77154985.3666667
"362",21237835.32,220673053.566667,111373645.033333,17837637.3,7489857.03666667,7135224.91,5599956.24666667,22093625.71,77154985.3666667
"37",9646669.04333333,186311964.433333,54851557.0666667,13509904.1833333,14235562.0866667,7721484.43333333,7339698.07333333,20741405.13,86437071.9
"371",9646669.04333333,186311964.433333,54851557.0666667,13509904.1833333,14235562.0866667,7721484.43333333,7339698.07333333,20741405.13,86437071.9
"372",9646669.04333333,186311964.433333,54851557.0666667,13509904.1833333,14235562.0866667,7721484.43333333,7339698.07333333,20741405.13,86437071.9
"38",15679843.9766667,213794860,94456945.4,14267384.1,16144618.3733333,7589569.29333333,7114214.18333333,21591111.8766667,85852714.4333333
"381",15679843.9766667,213794860,94456945.4,14267384.1,16144618.3733333,7589569.29333333,7114214.18333333,21591111.8766667,85852714.4333333
"382",15679843.9766667,213794860,94456945.4,14267384.1,16144618.3733333,7589569.29333333,7114214.18333333,21591111.8766667,85852714.4333333
"39",23616510.0166667,217948098.666667,103609266.7,14952271.6266667,16634975.2066667,8457656.02,7135370.93,21476338.0566667,86972301.9666667
"391",23616510.0166667,217948098.666667,103609266.7,14952271.6266667,16634975.2066667,8457656.02,7135370.93,21476338.0566667,86972301.9666667
"392",23616510.0166667,217948098.666667,103609266.7,14952271.6266667,16634975.2066667,8457656.02,7135370.93,21476338.0566667,86972301.9666667
"40",27659331.8033333,233984263.2,127388669.9,16501631.5833333,16889223.4666667,9366361.78,7322302.53,24271175.7366667,90154809.3333333
"401",27659331.8033333,233984263.2,127388669.9,16501631.5833333,16889223.4666667,9366361.78,7322302.53,24271175.7366667,90154809.3333333
"402",27659331.8033333,233984263.2,127388669.9,16501631.5833333,16889223.4666667,9366361.78,7322302.53,24271175.7366667,90154809.3333333
"411",12630276.09,209270500.7,63580623.8333333,12588382.98,22121136.4466667,9574934.13,9145685.84333333,22461514.8366667,100907922.366667
"412",12630276.09,209270500.7,63580623.8333333,12588382.98,22121136.4466667,9574934.13,9145685.84333333,22461514.8366667,100907922.366667
"413",12630276.09,209270500.7,63580623.8333333,12588382.98,22121136.4466667,9574934.13,9145685.84333333,22461514.8366667,100907922.366667
"421",19342908.69,232992795,108122326.466667,13120524.8866667,25245356.5966667,9363340.49,9001264.5,24115599.28,99659709.0333333
"422",19342908.69,232992795,108122326.466667,13120524.8866667,25245356.5966667,9363340.49,9001264.5,24115599.28,99659709.0333333
"423",19342908.69,232992795,108122326.466667,13120524.8866667,25245356.5966667,9363340.49,9001264.5,24115599.28,99659709.0333333
"43",28471114.18,232793958.966667,118287352.933333,13598830.1466667,25610818.77,10444485.28,9106711.72333333,25028377.45,99465379
"431",28471114.18,232793958.966667,118287352.933333,13598830.1466667,25610818.77,10444485.28,9106711.72333333,25028377.45,99465379
"432",28471114.18,232793958.966667,118287352.933333,13598830.1466667,25610818.77,10444485.28,9106711.72333333,25028377.45,99465379
"44",35115356.5666667,252110792.133333,142295139.7,15113572.6833333,26502496.2366667,11549235.8466667,9210504.87333333,28643305,102656459.833333
"441",35115356.5666667,252110792.133333,142295139.7,15113572.6833333,26502496.2366667,11549235.8466667,9210504.87333333,28643305,102656459.833333
"442",35115356.5666667,252110792.133333,142295139.7,15113572.6833333,26502496.2366667,11549235.8466667,9210504.87333333,28643305,102656459.833333
"45",11754838.3133333,218333606.333333,71904400.2,12793783.1066667,24980845.72,9764576.21666667,10885668.96,25961463.42,113049290.633333
"451",11754838.3133333,218333606.333333,71904400.2,12793783.1066667,24980845.72,9764576.21666667,10885668.96,25961463.42,113049290.633333
"452",11754838.3133333,218333606.333333,71904400.2,12793783.1066667,24980845.72,9764576.21666667,10885668.96,25961463.42,113049290.633333
"46",17719468.34,240716510.833333,121571581.666667,13318040.1133333,28044449.2566667,9546815.36333333,10654811.23,26905453.4266667,112546180.233333
"461",17719468.34,240716510.833333,121571581.666667,13318040.1133333,28044449.2566667,9546815.36333333,10654811.23,26905453.4266667,112546180.233333
"462",17719468.34,240716510.833333,121571581.666667,13318040.1133333,28044449.2566667,9546815.36333333,10654811.23,26905453.4266667,112546180.233333
"47",26982614.6066667,243399114.3,133585697.566667,13891677.2233333,29070947.57,10638066.3933333,10794873.9866667,27688582.7333333,112515727.7
"471",26982614.6066667,243399114.3,133585697.566667,13891677.2233333,29070947.57,10638066.3933333,10794873.9866667,27688582.7333333,112515727.7
"472",26982614.6066667,243399114.3,133585697.566667,13891677.2233333,29070947.57,10638066.3933333,10794873.9866667,27688582.7333333,112515727.7
"48",33709062.1,265940997.566667,161249686.033333,15476571.5033333,29755995.6066667,11760717.4,10858576.9133333,31132076.25,115877946.233333
"481",33709062.1,265940997.566667,161249686.033333,15476571.5033333,29755995.6066667,11760717.4,10858576.9133333,31132076.25,115877946.233333
"482",33709062.1,265940997.566667,161249686.033333,15476571.5033333,29755995.6066667,11760717.4,10858576.9133333,31132076.25,115877946.233333
"49",10957100.3766667,227985949.433333,81104592.5,13099054.2266667,27501812.6433333,9967189.07,12589315.4033333,28697244.4433333,125155063.966667
"491",10957100.3766667,227985949.433333,81104592.5,13099054.2266667,27501812.6433333,9967189.07,12589315.4033333,28697244.4433333,125155063.966667
"492",10957100.3766667,227985949.433333,81104592.5,13099054.2266667,27501812.6433333,9967189.07,12589315.4033333,28697244.4433333,125155063.966667
"50",16963482.3433333,252978919.166667,136144262.1,13662558.3466667,31332501.56,9751506.37666667,12123253.62,29704908.28,125017356.4
"501",16963482.3433333,252978919.166667,136144262.1,13662558.3466667,31332501.56,9751506.37666667,12123253.62,29704908.28,125017356.4
"502",16963482.3433333,252978919.166667,136144262.1,13662558.3466667,31332501.56,9751506.37666667,12123253.62,29704908.28,125017356.4
"511",25622372.03,255021114.233333,148668373.633333,14152223.3766667,32264161.3266667,10814405.8166667,12382176.8333333,30170108.2333333,125776015.3
"512",25622372.03,255021114.233333,148668373.633333,14152223.3766667,32264161.3266667,10814405.8166667,12382176.8333333,30170108.2333333,125776015.3
"513",25622372.03,255021114.233333,148668373.633333,14152223.3766667,32264161.3266667,10814405.8166667,12382176.8333333,30170108.2333333,125776015.3
"521",31229026.7033333,273626866.633333,178420032.433333,15624888.05,33127470.35,11955632.1266667,12828846.0133333,34553462.0666667,129339093.166667
"522",31229026.7033333,273626866.633333,178420032.433333,15624888.05,33127470.35,11955632.1266667,12828846.0133333,34553462.0666667,129339093.166667
"523",31229026.7033333,273626866.633333,178420032.433333,15624888.05,33127470.35,11955632.1266667,12828846.0133333,34553462.0666667,129339093.166667
"53",10194443.0233333,239135270.7,92401738.4,13310328.7166667,30482446.1666667,10112318.84,14198985.7166667,29892265.5533333,137157446.6
"531",10194443.0233333,239135270.7,92401738.4,13310328.7166667,30482446.1666667,10112318.84,14198985.7166667,29892265.5533333,137157446.6
"532",10194443.0233333,239135270.7,92401738.4,13310328.7166667,30482446.1666667,10112318.84,14198985.7166667,29892265.5533333,137157446.6
"54",16307554.55,265328250.7,150500860.266667,13879416.6066667,34474413.5333333,9897851.33,14065754.5033333,33058998.5733333,136971180.9
"541",16307554.55,265328250.7,150500860.266667,13879416.6066667,34474413.5333333,9897851.33,14065754.5033333,33058998.5733333,136971180.9
"542",16307554.55,265328250.7,150500860.266667,13879416.6066667,34474413.5333333,9897851.33,14065754.5033333,33058998.5733333,136971180.9
"55",23526209.0466667,263830499.533333,161947216.9,14440594.5933333,35400904.4333333,11060546.5,14145753.61,33667754.7,139247445.466667
"551",23526209.0466667,263830499.533333,161947216.9,14440594.5933333,35400904.4333333,11060546.5,14145753.61,33667754.7,139247445.466667
"552",23526209.0466667,263830499.533333,161947216.9,14440594.5933333,35400904.4333333,11060546.5,14145753.61,33667754.7,139247445.466667
"56",29349937.8033333,282541879.3,195514481.1,15967036.1366667,36241907.5333333,12195817.9533333,14242758.8133333,37945483.5,143210268.766667
"561",29349937.8033333,282541879.3,195514481.1,15967036.1366667,36241907.5333333,12195817.9533333,14242758.8133333,37945483.5,143210268.766667
"562",29349937.8033333,282541879.3,195514481.1,15967036.1366667,36241907.5333333,12195817.9533333,14242758.8133333,37945483.5,143210268.766667
"57",12693107.2733333,240349020.033333,100237519.9,17952299.1,29092310.7766667,12014816.18,16630213.44,32512058.5,159693760.233333
